description,category,deadline_proximity,vulnerability_score,urgency_label
Relief efforts delayed due to severe weather conditions,Infrastructure,7,24,Low
Road repairs required due to heavy rainfall damage,Security,14,38,Medium
Road repairs required due to heavy rainfall damage,Logistics,13,35,High
Relief efforts delayed due to severe weather conditions,Infrastructure,8,94,Medium
"Bridge collapse poses serious risk, engineers dispatched",Infrastructure,10,95,Critical
Urgent need for medical supplies in rural areas,Security,9,49,High
Educational program for refugees requires immediate funding,Infrastructure,18,69,High
New school materials needed for underprivileged children,Infrastructure,27,62,Medium
"Healthcare crisis reported, emergency response team needed",Security,26,60,High
"Cybersecurity breach in government systems, containment underway",Security,2,50,Medium
"Healthcare crisis reported, emergency response team needed",Medical,5,78,High
"Cybersecurity breach in government systems, containment underway",Logistics,29,75,Low
"Bridge collapse poses serious risk, engineers dispatched",Logistics,5,9,Medium
"Cybersecurity breach in government systems, containment underway",Infrastructure,6,34,High
Road repairs required due to heavy rainfall damage,Logistics,19,76,Critical
Educational program for refugees requires immediate funding,Infrastructure,8,99,High
Educational program for refugees requires immediate funding,Medical,16,35,Critical
Road repairs required due to heavy rainfall damage,Security,13,1,Critical
"Security threat detected in urban sector, immediate action required",Security,1,40,Low
"Bridge collapse poses serious risk, engineers dispatched",Security,22,64,Medium
"Security threat detected in urban sector, immediate action required",Logistics,20,22,High
"Security threat detected in urban sector, immediate action required",Medical,17,60,Low
"Healthcare crisis reported, emergency response team needed",Logistics,7,64,High
Relief efforts delayed due to severe weather conditions,Logistics,25,93,Critical
"Healthcare crisis reported, emergency response team needed",Medical,13,72,Medium
Relief efforts delayed due to severe weather conditions,Medical,4,11,High
New school materials needed for underprivileged children,Medical,4,14,High
"Cybersecurity breach in government systems, containment underway",Medical,6,60,Critical
Relief efforts delayed due to severe weather conditions,Security,28,30,High
Road repairs required due to heavy rainfall damage,Education,19,35,High
"Healthcare crisis reported, emergency response team needed",Education,29,85,Critical
"Bridge collapse poses serious risk, engineers dispatched",Medical,12,37,Low
"Cybersecurity breach in government systems, containment underway",Education,22,5,Critical
New school materials needed for underprivileged children,Education,7,83,Low
Relief efforts delayed due to severe weather conditions,Medical,27,78,Medium
New school materials needed for underprivileged children,Education,10,26,Low
"Bridge collapse poses serious risk, engineers dispatched",Logistics,26,62,Low
"Security threat detected in urban sector, immediate action required",Infrastructure,19,4,Medium
Educational program for refugees requires immediate funding,Infrastructure,7,89,Low
"Bridge collapse poses serious risk, engineers dispatched",Medical,3,42,Critical
Logistical delays affecting food distribution in remote villages,Security,13,89,Low
"Bridge collapse poses serious risk, engineers dispatched",Medical,13,18,Medium
New school materials needed for underprivileged children,Security,18,40,Critical
Road repairs required due to heavy rainfall damage,Infrastructure,28,72,Medium
"Healthcare crisis reported, emergency response team needed",Medical,26,39,Medium
Road repairs required due to heavy rainfall damage,Logistics,20,14,High
New school materials needed for underprivileged children,Education,28,32,High
"Healthcare crisis reported, emergency response team needed",Security,8,51,Medium
Logistical delays affecting food distribution in remote villages,Education,29,38,Medium
Educational program for refugees requires immediate funding,Education,9,97,Medium
"Cybersecurity breach in government systems, containment underway",Medical,7,23,High
New school materials needed for underprivileged children,Education,1,63,High
Relief efforts delayed due to severe weather conditions,Logistics,3,15,Low
New school materials needed for underprivileged children,Education,13,97,Low
New school materials needed for underprivileged children,Medical,28,25,Medium
"Healthcare crisis reported, emergency response team needed",Logistics,25,17,Critical
Urgent need for medical supplies in rural areas,Infrastructure,28,97,Critical
"Bridge collapse poses serious risk, engineers dispatched",Education,17,66,High
Urgent need for medical supplies in rural areas,Medical,25,78,High
Logistical delays affecting food distribution in remote villages,Infrastructure,24,53,High
Relief efforts delayed due to severe weather conditions,Infrastructure,1,51,Medium
Educational program for refugees requires immediate funding,Security,6,39,Critical
"Security threat detected in urban sector, immediate action required",Logistics,21,51,Low
Logistical delays affecting food distribution in remote villages,Education,6,70,Medium
"Security threat detected in urban sector, immediate action required",Medical,26,6,Low
"Security threat detected in urban sector, immediate action required",Security,12,67,Low
Educational program for refugees requires immediate funding,Logistics,13,7,Medium
Road repairs required due to heavy rainfall damage,Security,13,51,Low
Urgent need for medical supplies in rural areas,Logistics,29,72,Critical
New school materials needed for underprivileged children,Logistics,15,42,Low
"Cybersecurity breach in government systems, containment underway",Education,21,64,Critical
"Security threat detected in urban sector, immediate action required",Logistics,16,15,Critical
Relief efforts delayed due to severe weather conditions,Security,22,29,Critical
Logistical delays affecting food distribution in remote villages,Logistics,21,33,High
Road repairs required due to heavy rainfall damage,Education,11,94,Low
"Security threat detected in urban sector, immediate action required",Education,28,27,Medium
Road repairs required due to heavy rainfall damage,Security,5,36,Medium
Road repairs required due to heavy rainfall damage,Infrastructure,4,29,Low
"Security threat detected in urban sector, immediate action required",Infrastructure,3,38,High
"Healthcare crisis reported, emergency response team needed",Logistics,19,57,High
"Bridge collapse poses serious risk, engineers dispatched",Medical,20,97,Critical
Relief efforts delayed due to severe weather conditions,Logistics,25,27,Low
New school materials needed for underprivileged children,Security,18,55,Low
New school materials needed for underprivileged children,Security,15,33,Medium
Relief efforts delayed due to severe weather conditions,Security,9,68,Low
"Healthcare crisis reported, emergency response team needed",Security,17,86,High
New school materials needed for underprivileged children,Security,14,66,Low
Road repairs required due to heavy rainfall damage,Education,15,10,Medium
Educational program for refugees requires immediate funding,Infrastructure,1,5,Critical
Logistical delays affecting food distribution in remote villages,Security,21,74,Medium
Urgent need for medical supplies in rural areas,Medical,22,97,Medium
New school materials needed for underprivileged children,Medical,22,38,Critical
Relief efforts delayed due to severe weather conditions,Medical,3,13,Medium
Educational program for refugees requires immediate funding,Medical,16,31,Medium
"Security threat detected in urban sector, immediate action required",Education,23,47,Low
"Bridge collapse poses serious risk, engineers dispatched",Medical,25,88,Low
Relief efforts delayed due to severe weather conditions,Security,11,52,Critical
Road repairs required due to heavy rainfall damage,Logistics,12,56,Low
"Bridge collapse poses serious risk, engineers dispatched",Medical,10,15,Low
Logistical delays affecting food distribution in remote villages,Education,16,29,Medium
Logistical delays affecting food distribution in remote villages,Education,8,8,High
"Healthcare crisis reported, emergency response team needed",Medical,6,5,Low
"Cybersecurity breach in government systems, containment underway",Logistics,12,29,High
"Healthcare crisis reported, emergency response team needed",Medical,24,47,Low
Educational program for refugees requires immediate funding,Education,28,68,Low
"Bridge collapse poses serious risk, engineers dispatched",Infrastructure,21,76,Critical
"Cybersecurity breach in government systems, containment underway",Security,8,45,Critical
"Security threat detected in urban sector, immediate action required",Education,26,2,Critical
Road repairs required due to heavy rainfall damage,Medical,28,27,High
"Bridge collapse poses serious risk, engineers dispatched",Security,4,95,Medium
"Healthcare crisis reported, emergency response team needed",Medical,26,36,Low
Urgent need for medical supplies in rural areas,Medical,8,36,Low
"Cybersecurity breach in government systems, containment underway",Infrastructure,26,26,Low
"Cybersecurity breach in government systems, containment underway",Security,28,43,High
Road repairs required due to heavy rainfall damage,Security,18,27,Critical
New school materials needed for underprivileged children,Infrastructure,28,69,Medium
Logistical delays affecting food distribution in remote villages,Education,28,20,High
Logistical delays affecting food distribution in remote villages,Medical,5,11,Critical
Urgent need for medical supplies in rural areas,Logistics,9,74,High
Educational program for refugees requires immediate funding,Medical,4,38,Medium
Educational program for refugees requires immediate funding,Medical,27,6,Critical
"Security threat detected in urban sector, immediate action required",Education,22,72,High
"Bridge collapse poses serious risk, engineers dispatched",Medical,17,23,Medium
Relief efforts delayed due to severe weather conditions,Infrastructure,9,47,Low
New school materials needed for underprivileged children,Infrastructure,1,90,Medium
"Healthcare crisis reported, emergency response team needed",Security,21,46,Low
Relief efforts delayed due to severe weather conditions,Logistics,20,12,High
Relief efforts delayed due to severe weather conditions,Medical,13,90,Critical
"Cybersecurity breach in government systems, containment underway",Medical,28,13,Critical
Urgent need for medical supplies in rural areas,Education,16,62,High
Logistical delays affecting food distribution in remote villages,Infrastructure,29,82,Critical
"Security threat detected in urban sector, immediate action required",Logistics,13,89,Critical
Educational program for refugees requires immediate funding,Security,14,97,Low
Urgent need for medical supplies in rural areas,Infrastructure,3,60,High
"Cybersecurity breach in government systems, containment underway",Security,29,43,Medium
"Healthcare crisis reported, emergency response team needed",Education,6,76,Low
"Security threat detected in urban sector, immediate action required",Education,18,68,High
"Cybersecurity breach in government systems, containment underway",Medical,19,5,Low
Logistical delays affecting food distribution in remote villages,Logistics,5,37,Medium
Logistical delays affecting food distribution in remote villages,Security,15,72,Medium
Logistical delays affecting food distribution in remote villages,Infrastructure,25,92,High
Urgent need for medical supplies in rural areas,Education,2,31,Medium
Urgent need for medical supplies in rural areas,Medical,10,9,Low
Educational program for refugees requires immediate funding,Medical,24,51,Medium
Educational program for refugees requires immediate funding,Security,18,29,Low
"Healthcare crisis reported, emergency response team needed",Education,27,78,Low
"Security threat detected in urban sector, immediate action required",Logistics,13,40,Medium
Road repairs required due to heavy rainfall damage,Education,5,41,High
Road repairs required due to heavy rainfall damage,Security,23,86,Critical
"Cybersecurity breach in government systems, containment underway",Security,24,11,Medium
Logistical delays affecting food distribution in remote villages,Education,1,23,Low
"Security threat detected in urban sector, immediate action required",Security,22,1,Low
Relief efforts delayed due to severe weather conditions,Education,1,46,Medium
Urgent need for medical supplies in rural areas,Infrastructure,18,21,High
"Bridge collapse poses serious risk, engineers dispatched",Education,15,90,High
New school materials needed for underprivileged children,Education,17,36,Low
"Healthcare crisis reported, emergency response team needed",Security,11,54,Low
Logistical delays affecting food distribution in remote villages,Security,21,87,High
Logistical delays affecting food distribution in remote villages,Medical,26,57,Critical
Logistical delays affecting food distribution in remote villages,Medical,25,1,Medium
Urgent need for medical supplies in rural areas,Infrastructure,22,63,Low
Urgent need for medical supplies in rural areas,Medical,27,54,Low
New school materials needed for underprivileged children,Education,27,55,High
Relief efforts delayed due to severe weather conditions,Security,17,40,Medium
"Security threat detected in urban sector, immediate action required",Medical,13,15,High
Logistical delays affecting food distribution in remote villages,Medical,1,21,Medium
Road repairs required due to heavy rainfall damage,Infrastructure,2,47,Medium
Educational program for refugees requires immediate funding,Infrastructure,9,73,Medium
Road repairs required due to heavy rainfall damage,Education,3,53,Low
"Cybersecurity breach in government systems, containment underway",Security,1,9,Critical
Road repairs required due to heavy rainfall damage,Infrastructure,21,74,High
"Cybersecurity breach in government systems, containment underway",Medical,16,52,Critical
"Bridge collapse poses serious risk, engineers dispatched",Security,23,57,High
Educational program for refugees requires immediate funding,Security,6,26,Medium
Road repairs required due to heavy rainfall damage,Medical,28,41,Low
"Bridge collapse poses serious risk, engineers dispatched",Infrastructure,17,35,Critical
"Healthcare crisis reported, emergency response team needed",Medical,5,63,Low
"Security threat detected in urban sector, immediate action required",Security,5,25,High
"Bridge collapse poses serious risk, engineers dispatched",Logistics,6,90,Low
"Security threat detected in urban sector, immediate action required",Logistics,3,75,Low
Road repairs required due to heavy rainfall damage,Education,21,38,Critical
Relief efforts delayed due to severe weather conditions,Medical,23,2,Medium
"Bridge collapse poses serious risk, engineers dispatched",Medical,5,7,Low
Educational program for refugees requires immediate funding,Education,21,82,Medium
Road repairs required due to heavy rainfall damage,Education,5,91,High
Logistical delays affecting food distribution in remote villages,Education,10,34,Low
Urgent need for medical supplies in rural areas,Security,10,91,Critical
"Bridge collapse poses serious risk, engineers dispatched",Medical,19,17,High
Educational program for refugees requires immediate funding,Security,17,43,High
"Healthcare crisis reported, emergency response team needed",Education,21,59,Critical
Logistical delays affecting food distribution in remote villages,Medical,14,51,Low
"Healthcare crisis reported, emergency response team needed",Security,9,54,Low
Road repairs required due to heavy rainfall damage,Security,14,24,High
Urgent need for medical supplies in rural areas,Education,1,25,Low
"Bridge collapse poses serious risk, engineers dispatched",Medical,19,71,Medium
"Bridge collapse poses serious risk, engineers dispatched",Education,13,52,Critical
Relief efforts delayed due to severe weather conditions,Medical,13,70,Medium
Relief efforts delayed due to severe weather conditions,Logistics,4,88,Low
Road repairs required due to heavy rainfall damage,Infrastructure,1,33,High
Road repairs required due to heavy rainfall damage,Infrastructure,17,49,Critical
Urgent need for medical supplies in rural areas,Infrastructure,8,29,Low
Relief efforts delayed due to severe weather conditions,Education,2,63,Low
Educational program for refugees requires immediate funding,Logistics,28,22,High
Educational program for refugees requires immediate funding,Medical,8,26,High
Urgent need for medical supplies in rural areas,Security,7,28,Medium
Educational program for refugees requires immediate funding,Medical,26,85,Critical
"Cybersecurity breach in government systems, containment underway",Security,26,49,Critical
"Security threat detected in urban sector, immediate action required",Medical,2,71,High
Urgent need for medical supplies in rural areas,Logistics,22,81,Medium
Urgent need for medical supplies in rural areas,Security,22,84,Critical
New school materials needed for underprivileged children,Education,3,49,High
Logistical delays affecting food distribution in remote villages,Medical,27,20,Low
Logistical delays affecting food distribution in remote villages,Medical,18,86,Critical
"Cybersecurity breach in government systems, containment underway",Security,12,92,Medium
Relief efforts delayed due to severe weather conditions,Education,1,63,Medium
Road repairs required due to heavy rainfall damage,Education,22,61,Medium
Road repairs required due to heavy rainfall damage,Logistics,12,49,Low
"Healthcare crisis reported, emergency response team needed",Education,5,71,Critical
"Cybersecurity breach in government systems, containment underway",Education,27,1,Critical
Urgent need for medical supplies in rural areas,Education,25,96,Low
"Cybersecurity breach in government systems, containment underway",Infrastructure,17,13,Critical
"Cybersecurity breach in government systems, containment underway",Logistics,16,94,Low
"Cybersecurity breach in government systems, containment underway",Medical,15,87,Low
Logistical delays affecting food distribution in remote villages,Security,23,51,Low
"Cybersecurity breach in government systems, containment underway",Medical,15,56,Medium
"Security threat detected in urban sector, immediate action required",Logistics,5,83,Critical
Road repairs required due to heavy rainfall damage,Security,21,62,Low
"Healthcare crisis reported, emergency response team needed",Logistics,14,32,Critical
"Security threat detected in urban sector, immediate action required",Education,2,30,Medium
"Healthcare crisis reported, emergency response team needed",Security,11,29,Low
New school materials needed for underprivileged children,Education,19,49,High
"Healthcare crisis reported, emergency response team needed",Medical,7,45,Medium
Road repairs required due to heavy rainfall damage,Medical,6,93,High
Road repairs required due to heavy rainfall damage,Security,28,30,Critical
"Cybersecurity breach in government systems, containment underway",Security,2,16,Critical
"Bridge collapse poses serious risk, engineers dispatched",Logistics,6,40,Medium
New school materials needed for underprivileged children,Logistics,18,19,Critical
Urgent need for medical supplies in rural areas,Education,2,18,High
Educational program for refugees requires immediate funding,Security,18,1,Low
"Healthcare crisis reported, emergency response team needed",Medical,15,78,Low
"Bridge collapse poses serious risk, engineers dispatched",Logistics,27,47,Low
"Cybersecurity breach in government systems, containment underway",Logistics,19,66,Medium
Logistical delays affecting food distribution in remote villages,Medical,2,92,Critical
Urgent need for medical supplies in rural areas,Logistics,20,94,High
Relief efforts delayed due to severe weather conditions,Education,25,38,Critical
"Bridge collapse poses serious risk, engineers dispatched",Security,6,51,Critical
Logistical delays affecting food distribution in remote villages,Medical,1,63,Critical
New school materials needed for underprivileged children,Security,24,4,Low
"Cybersecurity breach in government systems, containment underway",Logistics,15,1,High
Urgent need for medical supplies in rural areas,Logistics,28,8,High
Urgent need for medical supplies in rural areas,Medical,23,29,Critical
Urgent need for medical supplies in rural areas,Education,10,55,Low
New school materials needed for underprivileged children,Infrastructure,19,3,Low
"Healthcare crisis reported, emergency response team needed",Medical,17,32,High
Relief efforts delayed due to severe weather conditions,Infrastructure,5,10,Low
New school materials needed for underprivileged children,Infrastructure,29,74,Low
Educational program for refugees requires immediate funding,Education,4,83,Low
Relief efforts delayed due to severe weather conditions,Infrastructure,10,34,Medium
Road repairs required due to heavy rainfall damage,Infrastructure,24,97,Critical
"Cybersecurity breach in government systems, containment underway",Education,17,87,High
New school materials needed for underprivileged children,Infrastructure,10,55,High
Logistical delays affecting food distribution in remote villages,Infrastructure,17,92,Medium
Relief efforts delayed due to severe weather conditions,Infrastructure,28,32,Critical
Educational program for refugees requires immediate funding,Medical,20,50,High
Road repairs required due to heavy rainfall damage,Medical,24,7,Low
"Healthcare crisis reported, emergency response team needed",Medical,5,93,High
Logistical delays affecting food distribution in remote villages,Education,2,8,Low
Relief efforts delayed due to severe weather conditions,Logistics,6,65,Medium
"Cybersecurity breach in government systems, containment underway",Infrastructure,21,57,Low
Logistical delays affecting food distribution in remote villages,Infrastructure,2,67,High
Road repairs required due to heavy rainfall damage,Education,13,88,High
Logistical delays affecting food distribution in remote villages,Infrastructure,11,87,High
"Security threat detected in urban sector, immediate action required",Medical,11,59,Medium
"Bridge collapse poses serious risk, engineers dispatched",Logistics,16,72,Medium
"Healthcare crisis reported, emergency response team needed",Security,11,54,Critical
Road repairs required due to heavy rainfall damage,Infrastructure,19,67,High
Logistical delays affecting food distribution in remote villages,Medical,15,51,Low
"Bridge collapse poses serious risk, engineers dispatched",Security,25,97,Medium
"Bridge collapse poses serious risk, engineers dispatched",Logistics,23,92,High
Logistical delays affecting food distribution in remote villages,Security,23,8,High
"Cybersecurity breach in government systems, containment underway",Medical,16,34,Medium
"Security threat detected in urban sector, immediate action required",Security,11,35,Critical
New school materials needed for underprivileged children,Education,22,96,Medium
"Security threat detected in urban sector, immediate action required",Security,16,88,Medium
Logistical delays affecting food distribution in remote villages,Infrastructure,8,78,Low
"Healthcare crisis reported, emergency response team needed",Infrastructure,4,32,Low
New school materials needed for underprivileged children,Education,8,46,Critical
Road repairs required due to heavy rainfall damage,Medical,4,16,High
"Security threat detected in urban sector, immediate action required",Infrastructure,24,68,Medium
Logistical delays affecting food distribution in remote villages,Logistics,25,37,Critical
"Security threat detected in urban sector, immediate action required",Infrastructure,3,54,Low
New school materials needed for underprivileged children,Infrastructure,3,85,Medium
Educational program for refugees requires immediate funding,Medical,27,14,High
Relief efforts delayed due to severe weather conditions,Security,29,95,Low
"Security threat detected in urban sector, immediate action required",Infrastructure,18,55,Low
Road repairs required due to heavy rainfall damage,Education,29,48,Low
Road repairs required due to heavy rainfall damage,Security,26,82,Critical
Urgent need for medical supplies in rural areas,Logistics,19,7,High
"Security threat detected in urban sector, immediate action required",Medical,19,74,Medium
Relief efforts delayed due to severe weather conditions,Logistics,21,7,Critical
"Cybersecurity breach in government systems, containment underway",Security,5,33,Critical
"Bridge collapse poses serious risk, engineers dispatched",Security,18,23,Critical
Relief efforts delayed due to severe weather conditions,Security,28,85,Low
"Bridge collapse poses serious risk, engineers dispatched",Logistics,10,19,High
"Bridge collapse poses serious risk, engineers dispatched",Security,29,19,Critical
Educational program for refugees requires immediate funding,Logistics,22,36,Medium
Urgent need for medical supplies in rural areas,Security,21,29,High
Relief efforts delayed due to severe weather conditions,Education,6,60,Medium
Relief efforts delayed due to severe weather conditions,Security,1,82,High
Educational program for refugees requires immediate funding,Logistics,5,2,Medium
"Security threat detected in urban sector, immediate action required",Infrastructure,9,1,Low
"Security threat detected in urban sector, immediate action required",Security,12,47,Critical
"Security threat detected in urban sector, immediate action required",Infrastructure,26,69,Medium
"Healthcare crisis reported, emergency response team needed",Education,14,20,High
"Bridge collapse poses serious risk, engineers dispatched",Medical,2,11,Critical
"Healthcare crisis reported, emergency response team needed",Education,17,2,Critical
Urgent need for medical supplies in rural areas,Security,14,67,High
Educational program for refugees requires immediate funding,Infrastructure,26,87,Medium
Relief efforts delayed due to severe weather conditions,Infrastructure,13,12,Low
"Bridge collapse poses serious risk, engineers dispatched",Logistics,27,20,Low
"Healthcare crisis reported, emergency response team needed",Infrastructure,9,5,Medium
"Healthcare crisis reported, emergency response team needed",Logistics,26,37,Critical
Logistical delays affecting food distribution in remote villages,Medical,25,38,Critical
"Healthcare crisis reported, emergency response team needed",Security,15,94,Critical
"Cybersecurity breach in government systems, containment underway",Logistics,25,9,Critical
Relief efforts delayed due to severe weather conditions,Medical,22,98,Medium
"Cybersecurity breach in government systems, containment underway",Infrastructure,15,53,Critical
Relief efforts delayed due to severe weather conditions,Infrastructure,24,44,High
Educational program for refugees requires immediate funding,Medical,11,99,Critical
Relief efforts delayed due to severe weather conditions,Infrastructure,16,86,Low
"Cybersecurity breach in government systems, containment underway",Medical,29,24,Critical
Relief efforts delayed due to severe weather conditions,Logistics,17,81,Medium
Educational program for refugees requires immediate funding,Logistics,26,74,Low
Educational program for refugees requires immediate funding,Medical,4,30,Medium
Urgent need for medical supplies in rural areas,Logistics,1,59,Medium
Relief efforts delayed due to severe weather conditions,Logistics,8,87,Low
Logistical delays affecting food distribution in remote villages,Logistics,17,96,Medium
"Security threat detected in urban sector, immediate action required",Education,3,81,Medium
Road repairs required due to heavy rainfall damage,Security,29,81,Critical
Educational program for refugees requires immediate funding,Infrastructure,20,14,High
New school materials needed for underprivileged children,Education,15,9,Medium
"Security threat detected in urban sector, immediate action required",Logistics,15,40,Medium
"Bridge collapse poses serious risk, engineers dispatched",Medical,24,66,Medium
Relief efforts delayed due to severe weather conditions,Logistics,22,25,Critical
"Cybersecurity breach in government systems, containment underway",Security,14,73,High
Road repairs required due to heavy rainfall damage,Logistics,26,22,Low
New school materials needed for underprivileged children,Medical,28,4,Critical
"Security threat detected in urban sector, immediate action required",Security,23,26,Critical
Relief efforts delayed due to severe weather conditions,Logistics,14,58,High
Urgent need for medical supplies in rural areas,Security,24,29,High
"Bridge collapse poses serious risk, engineers dispatched",Infrastructure,2,98,Critical
Road repairs required due to heavy rainfall damage,Infrastructure,13,87,Low
Logistical delays affecting food distribution in remote villages,Logistics,26,37,Critical
Urgent need for medical supplies in rural areas,Security,14,75,High
New school materials needed for underprivileged children,Medical,27,70,Low
Road repairs required due to heavy rainfall damage,Logistics,24,18,High
Urgent need for medical supplies in rural areas,Infrastructure,19,85,Low
"Bridge collapse poses serious risk, engineers dispatched",Infrastructure,7,42,Medium
Logistical delays affecting food distribution in remote villages,Logistics,3,41,High
Urgent need for medical supplies in rural areas,Security,15,38,High
"Healthcare crisis reported, emergency response team needed",Infrastructure,23,34,Critical
Logistical delays affecting food distribution in remote villages,Security,14,17,High
New school materials needed for underprivileged children,Infrastructure,11,37,High
"Bridge collapse poses serious risk, engineers dispatched",Infrastructure,15,25,Medium
Relief efforts delayed due to severe weather conditions,Education,28,76,High
"Cybersecurity breach in government systems, containment underway",Infrastructure,13,87,Medium
"Cybersecurity breach in government systems, containment underway",Medical,18,86,Medium
"Cybersecurity breach in government systems, containment underway",Logistics,26,85,Medium
Road repairs required due to heavy rainfall damage,Logistics,6,27,Medium
New school materials needed for underprivileged children,Security,3,57,Low
"Bridge collapse poses serious risk, engineers dispatched",Infrastructure,19,31,Critical
Logistical delays affecting food distribution in remote villages,Medical,15,6,Low
Road repairs required due to heavy rainfall damage,Security,25,91,High
New school materials needed for underprivileged children,Education,23,40,Low
Relief efforts delayed due to severe weather conditions,Security,5,98,Low
"Healthcare crisis reported, emergency response team needed",Security,28,12,High
"Bridge collapse poses serious risk, engineers dispatched",Infrastructure,10,53,High
"Cybersecurity breach in government systems, containment underway",Education,7,71,High
Urgent need for medical supplies in rural areas,Security,25,10,Low
"Bridge collapse poses serious risk, engineers dispatched",Medical,17,45,Low
Educational program for refugees requires immediate funding,Medical,7,17,High
New school materials needed for underprivileged children,Logistics,22,26,Critical
"Security threat detected in urban sector, immediate action required",Education,26,85,Critical
Relief efforts delayed due to severe weather conditions,Education,12,92,Medium
"Healthcare crisis reported, emergency response team needed",Logistics,25,62,High
Relief efforts delayed due to severe weather conditions,Security,17,46,Medium
"Bridge collapse poses serious risk, engineers dispatched",Education,13,64,Critical
"Security threat detected in urban sector, immediate action required",Medical,20,2,Medium
Educational program for refugees requires immediate funding,Medical,25,54,High
Logistical delays affecting food distribution in remote villages,Infrastructure,4,65,High
Urgent need for medical supplies in rural areas,Education,10,51,High
"Security threat detected in urban sector, immediate action required",Security,3,53,Low
New school materials needed for underprivileged children,Logistics,9,36,Medium
"Cybersecurity breach in government systems, containment underway",Logistics,13,26,Critical
Educational program for refugees requires immediate funding,Security,18,29,Critical
Urgent need for medical supplies in rural areas,Infrastructure,15,21,Critical
"Healthcare crisis reported, emergency response team needed",Logistics,4,11,Low
"Cybersecurity breach in government systems, containment underway",Education,15,40,Low
"Bridge collapse poses serious risk, engineers dispatched",Infrastructure,22,11,High
"Security threat detected in urban sector, immediate action required",Education,2,36,Critical
Urgent need for medical supplies in rural areas,Medical,15,59,Low
Road repairs required due to heavy rainfall damage,Infrastructure,8,39,High
